"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Pujols, Albert",405395,2019,545,12.5,7.9,".308",".319",26.5,5.8,36.6,"98.702028255","93.397586981",18.2,44.5
"Cabrera, Miguel",408234,2019,549,19.7,8.7,".318",".331",38.5,6.4,44.4,"100.398112564","94.438305641",24.4,49.6
"Choo, Shin-Soo",425783,2019,660,25,11.8,".353",".362",31.8,8.8,49,"102.002794264","95.652745761",29.3,42.4
"Jones, Adam",430945,2019,528,19.1,5.9,".308",".319",31.3,6.7,31,"97.264484508","92.647410494",26.7,54.5
"Cruz Jr., Nelson",443558,2019,521,25.1,10.7,".417",".415",38.3,19.9,51.5,"105.351946319","97.322233957",32.6,46.2
"Longoria, Evan",446334,2019,508,22,8.5,".322",".351",35.8,7.5,40.8,"99.366085607","93.904958902",25.7,46.8
"Fowler, Dexter",451594,2019,574,24.7,12.9,".326",".340",40.6,7.4,28.7,"96.524358779","92.292498076",27.1,42.9
"Cabrera, Asdrúbal",452678,2019,514,20,11.1,".331",".317",37.3,5.7,35.3,"97.630785829","92.935685272",20.6,45.5
"Blackmon, Charlie",453568,2019,634,16.4,6.3,".387",".367",36.8,8.3,40.3,"99.698822","94.031157328",19.7,49.9
"Cain, Lorenzo",456715,2019,623,17,8,".302",".335",31.1,4.1,42.1,"100.238276903","94.349469379",19.2,44.7
"Turner, Justin",457759,2019,549,16,9.3,".370",".377",38.6,7.8,43,"99.316567333","94.054303103",17.2,45.5
"Votto, Joey",458015,2019,608,20.2,12.5,".332",".347",40.7,6.9,38.2,"98.39220904","93.284395747",19.6,41.5
"Gardner, Brett",458731,2019,550,19.6,9.5,".344",".299",29.5,4.1,32.7,"97.488521211","92.787581583",19.9,38.7
"Braun, Ryan",460075,2019,508,20.7,6.7,".354",".339",33.3,9.5,45.3,"102.052932898","95.456152393",24.9,51.6
"Gordon, Alex",460086,2019,633,15.8,8.1,".319",".330",33.7,5.4,38.4,"98.714198996","93.515087773",21.8,48.1
"Andrus, Elvis",462101,2019,648,14.8,5.2,".300",".311",32.5,3.5,34.8,"98.037067647","93.090040864",19.6,46.4
"Ramos, Wilson",467092,2019,524,13.2,8.4,".327",".314",25.8,4.7,42.5,"100.551024657","94.552424005",20.5,53.9
"Santana, Carlos",467793,2019,686,15.7,15.7,".380",".367",29.1,9.6,44.9,"101.70770382","95.190037742",20.4,39.5
"Belt, Brandon",474832,2019,616,20.6,13.5,".319",".346",41.4,8.7,35.7,"97.86413404","92.972052601",22.8,46.3
"Brantley Jr., Michael",488726,2019,637,10.4,8,".367",".357",36.3,5.5,37.3,"98.944887791","93.592931345",10.7,43.8
"Gurriel Jr., Yuli",493329,2019,612,10.6,6,".364",".321",33.5,3.6,38.1,"99.115304494","93.675495972",14.8,49.7
"Rojas, Miguel",500743,2019,526,11.8,6.1,".305",".299",31.9,2.6,28.8,"96.91060967","92.477684269",16.5,47.1
"Escobar, Eduardo",500871,2019,699,18.6,7.2,".341",".326",38.6,7,31.4,"96.833323953","92.47242407",24.8,52.6
"Davis, Khris",501981,2019,533,27.4,8.8,".289",".317",31.5,9.8,40.4,"100.123268606","94.332532128",34.9,51.8
"Pham, Tommy",502054,2019,654,18.8,12.4,".349",".354",29.7,7.9,45,"101.772675315","95.171833612",20.2,38.4
"Martinez, J.D.",502110,2019,657,21,11,".386",".400",41.9,12,48.3,"102.267810181","95.582029229",26.7,49.5
"Reddick, Josh",502210,2019,550,12,6.5,".308",".316",36,3.4,29.4,"96.674681023","92.339940093",14.8,51.3
"Goldschmidt, Paul",502671,2019,682,24.3,11.4,".346",".359",36.4,11.3,42.4,"101.099060419","94.813832214",26.3,46.5
"Altuve, Jose",514888,2019,548,15,7.5,".374",".344",28.2,8.1,34.5,"98.232746332","93.15652902",20.7,47.6
"Hernández, César",514917,2019,667,15,6.7,".315",".302",32,2.7,28.3,"96.063685391","92.063206289",17.2,46
"Segura, Jean",516416,2019,618,11.8,4.9,".315",".310",31,3.2,32.7,"98.140826245","93.158728356",14.6,47.5
